Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,8.00000000000000016653e-02 with 64 bits of precision,2.09740006485862947299e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,7.00000000000000066613e-02 with 64 bits of precision,2.09864896651106167744e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,6.00000000000000047184e-02 with 64 bits of precision,2.10003563576580402905e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,5.00000000000000027756e-02 with 64 bits of precision,2.10180419423724813358e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,4.00000000000000077716e-02 with 64 bits of precision,3.44583012789134664026e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,2.99999999999999988898e-02 with 64 bits of precision,3.44701309603747277285e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,2.00000000000000038858e-02 with 64 bits of precision,3.44860340619090452348e+01 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000088818e-02 with 64 bits of precision,3.48451506502809734722e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000002082e-02 with 64 bits of precision,3.48451506502809734722e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,9.00000000000000105471e-03 with 64 bits of precision,3.48451616694823140752e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,8.00000000000000016653e-03 with 64 bits of precision,3.48451729967910774111e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,7.00000000000000014572e-03 with 64 bits of precision,3.48451848138218626838e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,6.0000000000000001249e-03 with 64 bits of precision,3.48451975058666272123e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,5.00000000000000010408e-03 with 64 bits of precision,3.4845212156110185977e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,4.00000000000000008327e-03 with 64 bits of precision,3.48452387588841055166e+03 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,3.00000000000000006245e-03 with 64 bits of precision,3.12654621529684698427e+04 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,2.00000000000000004163e-03 with 64 bits of precision,7.6816194476401811599e+04 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000088818e-03 with 64 bits of precision,4.04471484393182711074e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,1.00000000000000002082e-03 with 64 bits of precision,4.04471484393182711074e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,8.99999999999999975367e-04 with 64 bits of precision,4.04471484532722043866e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,8.00000000000000038337e-04 with 64 bits of precision,4.04471484692795850975e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,7.00000000000000101308e-04 with 64 bits of precision,4.0447148491273959624e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,6.00000000000000055858e-04 with 64 bits of precision,7.3212677377071822923e+05 with 64 bits of precision]
Real[4.48401123333710238672e-01 with 64 bits of precision,7.10197609601030677151e-02 with 64 bits of precision,8.91006524188367898809e-01 with 64 bits of precision,5.00000000000000010408e-04 with 64 bits of precision,7.32126774026183292733e+05 with 64 bits of precision]
